City_station,Date,PM2.5,NO,NO2,NOx,CO,SO2,O3
Ahmedabad,1/28/2015,73.24,5.72,21.11,25.84,5.72,36.52,62.42
Ahmedabad,1/29/2015,83.13,6.93,28.71,33.72,6.93,49.52,59.76
Ahmedabad,1/30/2015,79.84,13.85,28.68,41.08,13.85,48.49,97.07
Ahmedabad,1/31/2015,94.52,24.39,32.66,52.61,24.39,67.39,111.33
Ahmedabad,2/1/2015,135.99,43.48,42.08,84.57,43.48,75.23,102.7
Ahmedabad,2/2/2015,178.33,54.56,35.31,72.8,54.56,55.04,107.38
Ahmedabad,2/3/2015,139.7,30.61,28.4,56.73,30.61,33.79,73.6
Ahmedabad,2/4/2015,80.65,2.37,22.83,24,2.37,25.73,47.3
Ahmedabad,2/5/2015,58.36,2.6,21.39,23.31,2.6,32.66,53.54
Ahmedabad,2/6/2015,79.29,1.16,26.94,26.83,1.16,67.41,59.3
Ahmedabad,2/7/2015,88.7,7.29,31.32,37.73,7.29,80.09,44.76
Ahmedabad,2/8/2015,74.28,8.92,27.3,33.42,8.92,54.28,47.42
Ahmedabad,2/9/2015,113.93,4.32,24.27,26.86,4.32,48.73,39.94
Ahmedabad,2/10/2015,105.39,1.41,18.21,18.75,1.41,35.91,56.15
Ahmedabad,2/11/2015,66.52,6.34,23.8,28.24,6.34,66.58,53.14
Ahmedabad,2/12/2015,65.04,14.19,30.1,44.21,14.19,65.91,31.88
Ahmedabad,2/13/2015,103.36,18.18,39.56,57.33,18.18,80.43,40.11
Ahmedabad,2/14/2015,177.33,37.49,47.58,77.85,37.49,99.72,36.47
Ahmedabad,2/15/2015,113.25,15.55,30.5,44.87,15.55,69.71,33.78
Ahmedabad,2/16/2015,99.7,19.85,28.1,47.31,19.85,73.23,30.57
Ahmedabad,2/17/2015,80.61,15.96,21.04,35.67,15.96,54.7,36.2
Ahmedabad,2/18/2015,100.79,16.24,25.93,41.91,16.24,43.11,37.43
Ahmedabad,2/19/2015,107.99,11.25,30.09,40.47,11.25,84.86,31.94
Ahmedabad,2/20/2015,140.29,33.84,36.14,68.85,33.84,101.53,40.98
Ahmedabad,2/21/2015,239.96,61.95,46.25,106.92,61.95,84.87,33.55
Ahmedabad,2/22/2015,142.96,45.45,48.21,92.32,45.45,62.96,34.77
Ahmedabad,2/23/2015,238.41,77.7,55.07,131.32,77.7,89.07,37.3
Ahmedabad,2/24/2015,118.72,12.56,32.01,42.56,12.56,61.54,38.8
Ahmedabad,2/25/2015,52.99,2.23,10.45,10.39,2.23,32.76,67.25
Ahmedabad,3/1/2015,61.12,3.58,16.81,20.92,3.58,28.44,30.48
Ahmedabad,3/2/2015,60.78,9.07,18.21,27.34,9.07,29.48,34.75
Ahmedabad,3/3/2015,91.83,12.99,28.71,40.76,12.99,39.71,38.46
Ahmedabad,3/4/2015,93.88,18.21,29.38,47.01,18.21,62.75,46.79
Ahmedabad,3/5/2015,173.01,48.44,42.27,90.73,48.44,78.76,59.39
Ahmedabad,3/7/2015,105.45,2.5,16.1,18.66,2.5,29.29,69.9
Ahmedabad,3/8/2015,71.56,3.51,16.83,20.32,3.51,30.28,57.16
Ahmedabad,3/9/2015,119.8,4.13,24.07,27.9,4.13,50.35,50.49
Ahmedabad,3/10/2015,106.71,5.39,25.59,30.51,5.39,38.85,60.17
Ahmedabad,3/11/2015,118.49,4.11,28.94,31.83,4.11,54.2,53.61
Ahmedabad,3/12/2015,106.01,4.28,27.31,30.54,4.28,70.29,40.91
Ahmedabad,3/13/2015,97.34,3.67,21.58,24.62,3.67,64.39,45.69
Ahmedabad,3/14/2015,83.92,6.42,25.03,30.8,6.42,67.53,34.94
Ahmedabad,3/15/2015,49.51,3.1,14.16,16.15,3.1,48.33,37.95
Ahmedabad,3/16/2015,30.76,2.72,14.14,16.98,2.72,43.62,54.78
Ahmedabad,3/17/2015,50.29,5.34,29.84,33.28,5.34,59.23,45.44
Ahmedabad,3/18/2015,57.69,25.36,29.48,54.79,25.36,58.33,52.87
Ahmedabad,3/19/2015,105.06,46.24,37.05,82.23,46.24,53.62,45.65
Ahmedabad,3/20/2015,94.1,22.14,36.53,57.49,22.14,61.31,46.77
Ahmedabad,3/21/2015,111.89,22.25,43.29,64.53,22.25,66.44,50.57
Ahmedabad,3/22/2015,108.59,25.38,39.34,63.01,25.38,75.8,46.68
Ahmedabad,3/23/2015,130.76,45.61,41.03,85.76,45.61,65.77,41.58
Ahmedabad,3/24/2015,143.55,27.3,31.15,57.16,27.3,50.98,35.38
Ahmedabad,3/25/2015,165.07,23.83,34.48,57.71,23.83,64.32,43.79
Ahmedabad,3/26/2015,166.85,17.93,43.3,60.07,17.93,79.71,53.44
Ahmedabad,3/27/2015,147.38,6.4,35.82,40.22,6.4,46.89,17.94
Ahmedabad,3/28/2015,158.25,5.86,27.89,32.65,5.86,142.36,38.54
Ahmedabad,3/29/2015,237.76,4.99,21.8,25.37,4.99,96.28,39.77
Ahmedabad,3/30/2015,133.37,3.88,17.99,21.02,3.88,57.34,39.66
Ahmedabad,3/31/2015,133.3,6.52,20,26.18,6.52,51.58,59.03
Ahmedabad,4/1/2015,96.04,3.8,20.07,23.46,3.8,62.42,46.61
Ahmedabad,4/2/2015,77.69,5.24,18.87,23.06,5.24,100.48,27.14
Ahmedabad,4/3/2015,53.07,4.17,13.82,17.45,4.17,40.36,21.76
Ahmedabad,4/4/2015,63.11,5.63,15.5,18.49,5.63,38.21,4.72
Ahmedabad,4/5/2015,156.76,3.92,16.7,20.97,3.92,26.32,37.11
Ahmedabad,4/6/2015,120.96,4.23,20.86,25.02,4.23,35.54,35.66
Ahmedabad,4/7/2015,138.63,5.65,25.47,30.67,5.65,87.43,29.77
Ahmedabad,4/8/2015,144.36,15.82,30.69,46.1,15.82,66.39,27.34
Ahmedabad,4/9/2015,85.03,3.3,26.7,27.41,3.3,59.16,35.89
Ahmedabad,4/10/2015,134.6,5.9,26.27,28.7,5.9,34.53,7
Ahmedabad,4/11/2015,61.06,3.52,14.03,17.59,3.52,8.08,19.54
Ahmedabad,4/12/2015,39.42,5.28,19.56,24.66,5.28,17.66,31.3
Ahmedabad,4/13/2015,111.86,3.89,22.51,25.17,3.89,15.84,31.23
Ahmedabad,4/14/2015,58.37,5.74,21.71,27.69,5.74,25.9,43.92
Ahmedabad,4/15/2015,95.37,18.01,26.23,44.34,18.01,13.59,41.64
Ahmedabad,4/16/2015,141.3,30.8,36.88,66.53,30.8,41.06,37.66
Ahmedabad,4/17/2015,106.68,19.91,46.38,54.77,19.91,31.56,48.49
Ahmedabad,4/18/2015,109.48,4.3,20.27,22.86,4.3,46.6,31.34
Ahmedabad,4/19/2015,126.04,6.99,20.18,26.78,6.99,79.56,28.71
Ahmedabad,4/20/2015,71.22,16.73,21.32,37.58,16.73,50.09,28.39
Ahmedabad,4/21/2015,97.87,6.3,17.96,23.45,6.3,13.85,34.16
Ahmedabad,4/22/2015,63.38,3.44,13.28,15.44,3.44,24.79,43.62
Ahmedabad,4/23/2015,75.29,3.35,14.29,17.97,3.35,76.05,60.71
Ahmedabad,4/24/2015,80.9,5.7,18.62,24.23,5.7,65.44,22.8
Ahmedabad,4/25/2015,103.29,4.55,19.82,23.69,4.55,85.42,22.18
Ahmedabad,4/26/2015,107.5,5.29,15.56,19.73,5.29,74.37,10.12
Ahmedabad,4/27/2015,161.14,3.11,14.77,16.12,3.11,118.35,59.73
Ahmedabad,4/28/2015,102.58,3.88,12.74,16.82,3.88,41.94,26.89
Ahmedabad,4/29/2015,138.42,5.05,16.7,21.56,5.05,77.74,27.18
Ahmedabad,4/30/2015,129.04,5.69,14.86,19.66,5.69,78.27,18.67
Ahmedabad,5/1/2015,96.65,4.67,15.9,20.53,4.67,39.41,11.83
Ahmedabad,5/2/2015,126.77,15.69,23.93,39.73,15.69,93.18,36.71
Ahmedabad,5/3/2015,106.15,13.12,23.02,35.05,13.12,65.95,81.6
Ahmedabad,5/4/2015,86.31,2.69,10.5,10.9,2.69,50.13,90.54
Ahmedabad,5/5/2015,83.99,2.73,0.08,2.75,2.73,34.06,69.57
Ahmedabad,5/6/2015,65.11,3.14,4.58,6.75,3.14,22.27,32.26
Ahmedabad,5/7/2015,51.03,6.24,20.47,26.2,6.24,15.5,31.44
Ahmedabad,5/8/2015,38.73,8,19.28,26.61,8,20.13,25.7
Ahmedabad,5/9/2015,61.12,9.94,17.82,27.18,9.94,39.69,25.9
Ahmedabad,5/10/2015,58.44,10.68,17.24,27.38,10.68,54.69,18.89
Ahmedabad,5/11/2015,61.49,11.44,16.69,27.61,11.44,42.66,18.2
Ahmedabad,5/12/2015,65.39,12.3,16.08,27.86,12.3,27.96,22.35
Ahmedabad,5/13/2015,100.92,20.42,18.9,37.83,20.42,31.9,22.84
Ahmedabad,5/14/2015,97.48,5.31,30.02,33.62,5.31,36.05,16.26
Ahmedabad,5/15/2015,129.27,14.28,28.33,41.92,14.28,70.13,25.4
Ahmedabad,5/16/2015,129.58,21.23,28.79,45.4,21.23,17.66,34.42
Ahmedabad,5/17/2015,100.57,7.56,18.79,24.33,7.56,38.76,38.83
Ahmedabad,5/18/2015,130.34,7.14,17.43,23.72,7.14,52.07,29.05
Ahmedabad,5/19/2015,53.24,8.05,15.86,23.34,8.05,36.23,21.58
Ahmedabad,5/20/2015,42,10.44,18.16,21.8,10.44,17,25.5
Ahmedabad,5/21/2015,50.1,9.46,14.9,22.5,9.46,30.67,12.91
Ahmedabad,5/22/2015,83.69,10.89,17.18,27.15,10.89,41.12,35.61
Ahmedabad,5/23/2015,38.88,2.18,16.28,17.74,2.18,26.4,12.47
Ahmedabad,5/24/2015,46.89,2.96,16.17,18.49,2.96,41.96,10.74
Ahmedabad,5/25/2015,70.96,4.12,15.47,19.28,4.12,23.67,16.01
Ahmedabad,5/26/2015,53.66,4.23,14.43,18.06,4.23,14.46,45.64
Ahmedabad,5/27/2015,45.49,4.26,13.73,17.1,4.26,12.85,71.85
Ahmedabad,5/28/2015,60.86,5.27,16.61,21.42,5.27,14.91,41.19
Ahmedabad,5/29/2015,51.93,13.71,17.87,31.64,13.71,15.33,12.88
Ahmedabad,5/30/2015,77.87,6.67,17.12,23,6.67,46.82,16.67
Ahmedabad,5/31/2015,57.59,5.6,15.47,20.42,5.6,41.68,25.51
Ahmedabad,6/1/2015,77.22,7.02,15.47,21.13,7.02,71.97,9.56
Ahmedabad,6/2/2015,45.29,7.25,12.74,19.66,7.25,18.64,6.32
Ahmedabad,6/3/2015,103.78,6.36,13.9,19.86,6.36,7.76,15.27
Ahmedabad,6/4/2015,25.14,6.01,18.73,24.74,6.01,38.05,38.52
Ahmedabad,6/5/2015,87.03,8.05,17.88,25.53,8.05,23.84,48.22
Ahmedabad,6/6/2015,89.6,6.59,19.84,25.9,6.59,48.05,44.78
Ahmedabad,6/7/2015,80.69,6.86,16.07,22.25,6.86,39.85,32.65
Ahmedabad,6/8/2015,44.75,7.76,16.53,24.29,7.76,9.89,8.07
Ahmedabad,6/9/2015,38.11,7.41,11.62,19.03,7.41,3.13,6.69
Ahmedabad,6/10/2015,45.5,8.56,15.59,24.15,8.56,0.76,3.82
Ahmedabad,6/11/2015,36.98,8.21,11.52,19.74,8.21,0.52,5.17
Ahmedabad,6/12/2015,43.58,8.26,13.33,21.58,8.26,1.02,7.56
Ahmedabad,6/13/2015,45.49,9.63,14.91,24.53,9.63,0.81,2.94
Ahmedabad,6/14/2015,38.06,8.67,18.57,27.25,8.67,1.05,4.63
Ahmedabad,6/15/2015,45.41,9.35,20.55,29.9,9.35,0.74,4.5
Ahmedabad,6/16/2015,37.71,8.54,16.26,24.8,8.54,0.87,4.6
Ahmedabad,6/17/2015,32.37,7.53,14.36,21.89,7.53,2.17,12.17
Ahmedabad,6/18/2015,34.74,7.59,13.51,21.11,7.59,4.11,12.22
Ahmedabad,6/19/2015,32.56,7.34,13.91,21.25,7.34,4.04,11.85
Ahmedabad,6/20/2015,29.28,7.55,11.68,19.23,7.55,4.01,12.64
Ahmedabad,6/21/2015,20.46,7.15,10.61,17.76,7.15,5.62,12.7
Ahmedabad,6/22/2015,26.07,7.99,11.07,19.06,7.99,4.1,10.57
Ahmedabad,6/23/2015,21.43,7.45,11.16,18.62,7.45,4.99,7.38
Ahmedabad,6/24/2015,11.91,7.34,10.1,17.44,7.34,10.86,5.47
Ahmedabad,6/25/2015,57.75,8.68,9.68,18.36,8.68,12.28,3.06
Ahmedabad,6/26/2015,66.39,8.58,12.79,21.36,8.58,11.09,4.96
Ahmedabad,6/27/2015,62.61,9.15,9.83,18.98,9.15,12.31,6.44
Ahmedabad,6/28/2015,47.5,8.07,9.53,17.59,8.07,13.91,7.28
Ahmedabad,6/29/2015,111.8,9.23,11.51,20.74,9.23,5.27,5.99
Ahmedabad,6/30/2015,30,8.87,13.59,22.64,8.87,8.09,6.31
Ahmedabad,7/1/2015,4.66,9.01,10.9,20.36,9.01,7.31,6.38
Ahmedabad,7/2/2015,48.72,9.56,11.94,21.5,9.56,5.72,6.61
Ahmedabad,7/3/2015,49.7,9.43,9.81,19.23,9.43,6.78,6.42
Ahmedabad,7/4/2015,48.1,8.03,9.53,17.57,8.03,9.33,7.6
Ahmedabad,7/5/2015,47.43,8.11,9.45,17.56,8.11,7.93,7.08
Ahmedabad,7/6/2015,51.74,8.91,12.38,21.28,8.91,10.05,5.78
Ahmedabad,7/7/2015,42.68,9.74,11.08,20.82,9.74,10.87,4.44
Ahmedabad,7/8/2015,38.45,10.55,7.8,18.35,10.55,10.28,3.24
Ahmedabad,7/9/2015,46.69,11.48,0.17,11.64,11.48,10.25,5.76
Ahmedabad,7/10/2015,55.27,11.55,0.12,11.66,11.55,12.7,6.55
Ahmedabad,7/11/2015,149.03,11.49,0.16,11.65,11.49,10.07,7.27
Ahmedabad,7/12/2015,86.57,11.47,0.17,11.64,11.47,11.09,6.53
Ahmedabad,7/13/2015,111.77,11.3,0.24,11.53,11.3,7.73,4.67
Ahmedabad,7/14/2015,151.4,10.8,0.36,11.16,10.8,7.8,5.46
Ahmedabad,7/15/2015,51.35,8,2.69,10.67,8,10,5.76
Ahmedabad,7/16/2015,65.37,0.64,8.07,8.57,0.64,16.31,8.02
Ahmedabad,7/17/2015,56.28,0.6,8.02,8.51,0.6,18.93,6.2
Ahmedabad,7/18/2015,48.17,0.65,8,8.55,0.65,18.99,7.97
Ahmedabad,7/19/2015,33.56,0.72,7.89,8.56,0.72,11.28,10.18
Ahmedabad,7/20/2015,31.3,0.55,8.1,8.49,0.55,10.29,7.44
Ahmedabad,7/21/2015,48.12,0.67,7.9,8.43,0.67,1.28,6.3
Ahmedabad,7/22/2015,57.11,0.55,8.28,8.42,0.55,14.58,2.6
Ahmedabad,7/23/2015,34.72,0.1,9.73,7.88,0.1,13.62,4.87
Ahmedabad,7/24/2015,29.22,0.06,9.57,7.77,0.06,13.58,5.08
Ahmedabad,7/25/2015,29.79,0.14,8.64,7.97,0.14,15.11,5.34
Ahmedabad,7/26/2015,59.95,0.18,8.78,8.16,0.18,11.52,2.79
Ahmedabad,7/27/2015,19.2,1.52,9.45,9.74,1.52,11.23,4.61
Ahmedabad,7/28/2015,19.52,5.89,11.26,17.15,5.89,11.56,4.4
Ahmedabad,7/29/2015,35.16,5.75,10.89,16.64,5.75,14.7,3.67
Ahmedabad,7/30/2015,33.03,7.01,10.58,17.58,7.01,12.95,3.53
Ahmedabad,7/31/2015,40.95,6.92,10.47,17.39,6.92,19.8,3.38
Ahmedabad,8/1/2015,40.29,6.74,10.52,17.26,6.74,8.27,3.57
Ahmedabad,8/2/2015,41.16,6.91,10.51,17.42,6.91,13.48,3.69
Ahmedabad,8/3/2015,36.12,7.21,11.56,17.07,7.21,13.62,6.08
Ahmedabad,8/4/2015,28.51,6.69,20.52,27.21,6.69,5.69,7.65
Ahmedabad,8/5/2015,31.59,6.99,20.42,27.41,6.99,9.23,7.9
Ahmedabad,8/6/2015,42.56,7.17,20.4,27.57,7.17,6.28,9.86
Ahmedabad,8/7/2015,48.12,7.14,20.3,27.45,7.14,6.77,12.78
Ahmedabad,8/8/2015,37.09,7.22,20.21,27.42,7.22,8.66,7.94
Ahmedabad,8/9/2015,33.4,7.4,20.09,27.5,7.4,9.95,8.39
Ahmedabad,8/10/2015,38.64,7.35,20.21,27.55,7.35,9.74,6.28
Ahmedabad,8/11/2015,40.49,7.48,20.23,27.71,7.48,8.92,21.51
Ahmedabad,8/12/2015,41.37,7.47,20.2,27.68,7.47,11.73,19.8
Ahmedabad,8/13/2015,44.56,7.49,20.06,27.55,7.49,11.23,22.77
Ahmedabad,8/14/2015,65.68,7.57,19.94,27.51,7.57,8.21,30.21
Ahmedabad,8/15/2015,33.34,7.3,20.27,27.57,7.3,6.41,32.95
Ahmedabad,8/16/2015,39.17,7.35,20.24,27.58,7.35,9.17,26.64
Ahmedabad,8/17/2015,34,7.41,20.1,27.51,7.41,9.64,17.17
Ahmedabad,8/18/2015,36.38,7.31,20.14,27.45,7.31,10.65,13.35
Ahmedabad,8/19/2015,38.35,7.41,20.16,27.57,7.41,9.33,18.59
Ahmedabad,8/20/2015,38.5,12.38,19.67,30.02,12.38,10.37,16.33
Ahmedabad,8/21/2015,39.61,17.31,14.84,32.15,17.31,10.76,5.38
Ahmedabad,8/22/2015,61.79,17.24,14.82,32.06,17.24,12.39,8.06
Ahmedabad,8/23/2015,43.22,17.17,14.82,31.99,17.17,11.68,37.87
Ahmedabad,8/24/2015,33.41,17.12,14.86,31.98,17.12,12.96,86.83
Ahmedabad,8/25/2015,36.9,17.08,14.85,31.93,17.08,4.73,54.01
Ahmedabad,8/26/2015,36.36,17.11,14.79,31.9,17.11,8.86,77.3
Ahmedabad,8/27/2015,32.64,17.01,14.84,31.85,17.01,7.05,62.31
Ahmedabad,8/28/2015,38.23,17.07,14.89,31.96,17.07,10.9,55.94
Ahmedabad,8/29/2015,39.86,16.98,14.83,31.81,16.98,10.02,96.83
Ahmedabad,8/30/2015,72.74,17.04,14.84,31.88,17.04,4.23,99.03
Ahmedabad,8/31/2015,43.2,17.05,14.86,31.91,17.05,5.96,59.99
Ahmedabad,9/1/2015,63.2,17.03,14.82,31.85,17.03,3.69,7.57
Ahmedabad,9/2/2015,64.73,17.01,14.82,31.83,17.01,6.45,12.13
Ahmedabad,9/3/2015,65.28,17.04,14.85,31.89,17.04,6.13,18.2
Ahmedabad,9/4/2015,67.86,16.97,14.87,31.84,16.97,8.87,16.53
Ahmedabad,9/5/2015,52.4,16.97,14.81,31.78,16.97,9.89,22.55
Ahmedabad,9/6/2015,33.33,16.95,14.89,31.84,16.95,6.88,33.58
Ahmedabad,9/7/2015,29.52,16.94,14.88,31.82,16.94,8.56,40.65
Ahmedabad,9/8/2015,15.53,17,14.85,31.85,17,15.13,34.18
Ahmedabad,9/9/2015,57.51,16.31,50.9,67.22,16.31,8.73,15.39
Ahmedabad,9/10/2015,50.24,9.46,12.31,21.77,9.46,11.63,13.61
Ahmedabad,9/11/2015,61.77,8.68,15.43,24.1,8.68,8.1,18.69
Ahmedabad,9/12/2015,46.93,7.14,11.47,18.61,7.14,7.92,19.03
Ahmedabad,9/13/2015,43.01,6.82,9.96,16.78,6.82,11.58,20.59
Ahmedabad,9/14/2015,42.06,8.43,11.35,19.78,8.43,11.63,28.09
Ahmedabad,9/15/2015,44.94,7.14,10.94,18.07,7.14,5.85,59.38
Ahmedabad,9/16/2015,29.58,6.61,9.94,16.55,6.61,8.82,42.9
Ahmedabad,9/17/2015,32.15,6.5,9.7,16.2,6.5,9.2,39.02
Ahmedabad,9/18/2015,36.33,7.68,12.88,20.56,7.68,8.28,43.35
Ahmedabad,9/19/2015,24.46,8.45,10.99,19.44,8.45,12.59,44.55
Ahmedabad,9/21/2015,27.08,9.95,12.25,22.19,9.95,9.51,12.46
Ahmedabad,9/22/2015,59.29,9.21,9.68,18.89,9.21,5.98,7.69
Ahmedabad,9/23/2015,65.32,10.61,9.62,20.23,10.61,3.69,4.74
Ahmedabad,9/24/2015,47.39,9.26,10.48,19.74,9.26,7.72,7.71
Ahmedabad,9/25/2015,43.88,8.69,19.75,28.44,8.69,4.83,11.53
Ahmedabad,9/26/2015,28.35,9.05,13.62,22.68,9.05,7.47,15.95
Ahmedabad,9/27/2015,3.59,11.26,14.17,25.44,11.26,9.6,20.38
Ahmedabad,9/28/2015,3.04,16.31,21.5,37.81,16.31,13.73,30.05
Ahmedabad,9/29/2015,19.14,10.33,30.6,40.93,10.33,10.96,29.36
Ahmedabad,9/30/2015,69.12,8.85,32.41,41.26,8.85,15.63,28.45
Ahmedabad,10/1/2015,76.41,17.96,34.7,52.67,17.96,15.44,31.49
Ahmedabad,10/2/2015,102.49,33.31,37.85,71.17,33.31,27.32,24.85
Ahmedabad,10/3/2015,127.94,11.14,28.38,39.52,11.14,25.59,15.17
Ahmedabad,10/4/2015,87.18,7.83,21.51,29.34,7.83,6.98,23.17
Ahmedabad,10/5/2015,99.73,20.16,30.23,50.39,20.16,32.74,20.91
Ahmedabad,10/6/2015,84.15,15.83,32.1,47.93,15.83,19.37,23.12
Ahmedabad,10/7/2015,92.12,18.21,32.5,50.71,18.21,31.75,29.97
Ahmedabad,10/8/2015,94.02,27.14,36.97,64.11,27.14,24.88,23.51
Ahmedabad,10/9/2015,150.27,15.9,34.86,50.77,15.9,26.35,31.96
Ahmedabad,10/10/2015,118.91,5.42,29.22,34.64,5.42,79.47,24.89
Ahmedabad,10/11/2015,91.41,5.19,23.45,28.63,5.19,25.44,6.25
Ahmedabad,10/12/2015,95.9,10.38,33.63,44.01,10.38,30.06,27.34
Ahmedabad,10/13/2015,137.87,20.2,32.98,53.18,20.2,21.89,17.41
Ahmedabad,10/14/2015,90.71,18.12,25.73,43.85,18.12,17.89,26.02
Ahmedabad,10/15/2015,108.68,17.03,32.87,49.9,17.03,22.59,19.56
Ahmedabad,10/16/2015,98.79,17.72,31.2,48.92,17.72,26.09,30.19
Ahmedabad,10/17/2015,145.75,20.61,34.71,55.33,20.61,24.66,95.94
Ahmedabad,10/18/2015,179.43,52.33,39.42,91.75,52.33,39.15,112.01
Ahmedabad,10/19/2015,170.52,15.49,35.22,48.6,15.49,34.03,53.98
Ahmedabad,10/20/2015,203.4,23.03,36.63,59.66,23.03,94.3,5.36
Ahmedabad,10/21/2015,92.71,12.92,30.65,43.57,12.92,42.08,72.86
Ahmedabad,10/22/2015,64.66,4.79,23.83,28.61,4.79,34.4,24.76
Ahmedabad,10/23/2015,78.14,10.58,28.93,39.51,10.58,44.91,35.56
Ahmedabad,10/24/2015,100.17,32.27,34.16,66.43,32.27,27.73,23.95
Ahmedabad,10/25/2015,147.35,34.64,39.1,73.74,34.64,46.09,26.43
Ahmedabad,10/26/2015,206.89,145.32,55.67,201,145.32,20.47,38
Ahmedabad,10/27/2015,114.84,38.09,40.31,78.39,38.09,22.94,30.19
Ahmedabad,10/28/2015,89.64,5.42,25.75,31.18,5.42,44.92,43.04
Ahmedabad,10/29/2015,51.72,1.89,21.15,23.04,1.89,37.31,66.58
Ahmedabad,10/30/2015,54.59,2.31,18.33,20.64,2.31,19.08,42.43
Ahmedabad,10/31/2015,46.5,1.22,12.1,13.32,1.22,13.73,61.56
Ahmedabad,11/2/2015,122.54,75.42,44.2,119.62,75.42,13.78,60.66
Ahmedabad,11/3/2015,147.18,33.06,36.87,69.93,33.06,21.24,131.12
Ahmedabad,11/6/2015,191.01,39.61,50.11,89.72,39.61,40.78,27.9
Ahmedabad,11/7/2015,192.35,9.39,29.04,38.43,9.39,29.18,33.21
Ahmedabad,11/8/2015,127.64,6.74,31.91,38.64,6.74,26.94,47.33
Ahmedabad,6/27/2016,33.02,11.69,28.91,40.6,11.69,1.38,36.04
Ahmedabad,6/28/2016,27.29,9.81,28.12,37.93,9.81,1.61,39.26
Ahmedabad,6/29/2016,41.43,10.45,31.82,42.09,10.45,1.7,28.05
Ahmedabad,6/30/2016,30.16,10.41,15.99,26.4,10.41,1.6,23.76
Ahmedabad,7/1/2016,29.42,9.39,10.11,19.5,9.39,1.57,16.42
Ahmedabad,7/2/2016,20.87,9.04,7.49,16.54,9.04,1.6,14.27
Ahmedabad,7/3/2016,35.08,8.36,6.52,14.88,8.36,1.63,19.44
Ahmedabad,7/4/2016,40.23,8.68,2.79,11.47,8.68,1.69,15.16
Ahmedabad,7/5/2016,54.25,8.11,2.78,10.89,8.11,1.42,18.46
Ahmedabad,7/6/2016,49.04,7.38,1.65,9.03,7.38,1.44,15.33
Ahmedabad,7/7/2016,35.87,7.5,1.67,9.13,7.5,1.53,17
Ahmedabad,7/8/2016,46.3,7.3,1.8,9.1,7.3,1.8,24
Ahmedabad,7/9/2016,39.15,7.05,1.9,8.95,7.05,1.4,15
Ahmedabad,7/10/2016,45.3,6.7,2.5,9.3,6.7,0.9,27
Ahmedabad,7/11/2016,43.61,7.7,3.93,11.62,7.7,1.32,21.64
Ahmedabad,7/13/2016,34.89,24.46,11.73,27.15,24.46,14.6,82.14
Ahmedabad,7/26/2016,46.52,3.87,33.24,33.53,3.87,15,6.9
Ahmedabad,7/27/2016,36.54,18.76,20.32,33.01,18.76,16.78,11.46
Ahmedabad,7/28/2016,36.87,26.51,23.28,47.75,26.51,13.74,4.91
Ahmedabad,7/29/2016,46.19,86.72,29.66,116.39,86.72,14.31,4.77
Ahmedabad,7/30/2016,48.44,84.21,30.66,114.87,84.21,15.67,4.26
Ahmedabad,7/31/2016,40.18,72.58,28.27,100.85,72.58,14.63,4.33
Ahmedabad,8/1/2016,33.5,79.53,30.42,109.95,79.53,14.95,4.81
Ahmedabad,8/2/2016,29.36,83.72,29.75,113.47,83.72,15.31,3.68
Ahmedabad,8/3/2016,44.59,89.85,29.34,119.19,89.85,14.18,4.91
Ahmedabad,8/4/2016,50.65,10.63,13,19.88,10.63,13.06,6.21
Ahmedabad,8/5/2016,33.93,5.06,13.41,16.13,5.06,19.54,6.16
Ahmedabad,8/7/2016,43.9,2.77,28.09,22.68,2.77,15.37,0.61
Ahmedabad,8/8/2016,93.34,9.72,27.88,34.75,9.72,13.18,1.4
Ahmedabad,8/9/2016,38.06,6.96,22.63,29.58,6.96,14.75,3.47
Ahmedabad,8/10/2016,20.19,10.41,18.13,28.54,10.41,15.01,4.9
Ahmedabad,8/11/2016,10.45,12.59,17.81,30.41,12.59,14.26,5.87
Ahmedabad,8/12/2016,29.87,13.53,14.69,28.22,13.53,14.56,9.6
Ahmedabad,8/13/2016,60.18,8.64,13.25,21.89,8.64,15.3,13.19
Ahmedabad,8/14/2016,85.1,8.14,12.91,21.04,8.14,14.51,12.45
Ahmedabad,8/15/2016,55.55,8.38,13.45,21.83,8.38,16.6,11.84
Ahmedabad,8/16/2016,170.22,15.47,17.88,33.33,15.47,14.21,10.05
Ahmedabad,8/17/2016,35.05,7.66,16.07,23.73,7.66,16.13,9.81
Ahmedabad,8/18/2016,37.68,6.39,9.49,15.88,6.39,16.15,13.7
Ahmedabad,8/19/2016,32.78,6.08,12.1,20.94,6.08,12.29,13.13
Ahmedabad,8/20/2016,53.5,12,14.19,26.57,12,16.32,5.48
Ahmedabad,8/21/2016,48.24,10.91,15.52,26.43,10.91,16.16,5.98
Ahmedabad,8/22/2016,63.27,8.82,13.23,25.6,8.82,24.81,8.68
Ahmedabad,8/23/2016,40.43,7.42,10.29,23.27,7.42,12.24,5
Ahmedabad,8/24/2016,31.15,8.91,9.94,18.86,8.91,21.48,12.97
Ahmedabad,8/25/2016,33.76,9.15,12.22,21.37,9.15,17.68,8.36
Ahmedabad,8/26/2016,35.95,10.05,9.75,19.8,10.05,16.66,8.61
Ahmedabad,8/27/2016,58.07,10.51,8.67,19.18,10.51,21.2,19.87
Ahmedabad,8/28/2016,46.04,9.72,8.75,18.46,9.72,17.27,10.35
